index,style,windows,vec_size,epochs,path,wordsim_r,wordsim_p_r,wordsim_rho,wordsim_prho,wordsim_coverage,simlex_r,simlex_p_r,simlex_rho,simlex_prho,simlex_coverage,analogy_sem,analogy_sem_coverage,analogy_mor,analogy_mor_coverage,analogy_all,analogy_all_coverage
0,cbow,5,200,10,models/cbow_win-5_vsize-200_ep-10.model,0.38509268817810205,1.689752729961338e-13,0.3847125095660187,1.7927801144189252e-13,0.9660056657223796,0.1483747852725181,2.6263578631953157e-06,0.14603974443802678,3.77643455816656e-06,0.994994994994995,0.07265481299816064,0.36779794790844517,0.1472679260613447,0.9223419203747073,0.1287000305157156,0.6706917724109701
1,cbow,5,200,5,models/cbow_win-5_vsize-200_ep-5.model,0.35215052979799505,2.1618366046255474e-11,0.3470217427827078,4.381666807862931e-11,0.9660056657223796,0.15164673909383547,1.5640793719245572e-06,0.14934302842650793,2.2554858294017744e-06,0.994994994994995,0.08675659104843654,0.36779794790844517,0.14107251675807433,0.9223419203747073,0.1275556911809582,0.6706917724109701
2,cbow,5,200,7,models/cbow_win-5_vsize-200_ep-7.model,0.37138115404729444,1.3615949135764494e-12,0.36669515544968373,2.7169806947064173e-12,0.9660056657223796,0.15501545760820518,9.068006703716151e-07,0.1540325642577786,1.0644188293023045e-06,0.994994994994995,0.07664009809932557,0.36779794790844517,0.14940077188706075,0.9223419203747073,0.1312938663411657,0.6706917724109701
3,cbow,5,300,10,models/cbow_win-5_vsize-300_ep-10.model,0.37060590146255434,1.5276446660092921e-12,0.37659988063537503,6.225051505289534e-13,0.9660056657223796,0.15986562551356526,4.0523410493728753e-07,0.15804905583129752,5.494921733166087e-07,0.994994994994995,0.07664009809932557,0.36779794790844517,0.14229128580134065,0.9223419203747073,0.12595361611229783,0.6706917724109701
4,cbow,5,300,5,models/cbow_win-5_vsize-300_ep-5.model,0.342393714881999,8.198884335659634e-11,0.3573926883991853,1.0362037259922006e-11,0.9660056657223796,0.1558077358555553,7.963309349781584e-07,0.1517093717589839,1.5484721142406841e-06,0.994994994994995,0.0818516247700797,0.36779794790844517,0.14422100345317895,0.9223419203747073,0.1287000305157156,0.6706917724109701
5,cbow,5,300,7,models/cbow_win-5_vsize-300_ep-7.model,0.3664134853264017,2.831176921401904e-12,0.36913717599886536,1.898163222251919e-12,0.9660056657223796,0.15332877574784007,1.1931179269277663e-06,0.1475471888459778,2.9890529130763614e-06,0.994994994994995,0.08215818516247701,0.36779794790844517,0.14787731058297787,0.9223419203747073,0.1315227342081172,0.6706917724109701
6,cbow,7,200,10,models/cbow_win-7_vsize-200_ep-10.model,0.3783843383207576,4.748023148786994e-13,0.38204290202303554,2.7107148094521633e-13,0.9660056657223796,0.1375587675855878,1.347976231479768e-05,0.13861402542326337,1.1551775394796004e-05,0.994994994994995,0.0668301655426119,0.36779794790844517,0.14472882388787325,0.9223419203747073,0.12534330180042721,0.6706917724109701
7,cbow,7,200,5,models/cbow_win-7_vsize-200_ep-5.model,0.3590643577898488,8.172571676974049e-12,0.3581160034459748,9.352217950518047e-12,0.9660056657223796,0.1516166030724463,1.571642579962293e-06,0.14755290115370714,2.9863924411648465e-06,0.994994994994995,0.08491722869405273,0.36779794790844517,0.14269754214909608,0.9223419203747073,0.12831858407079647,0.6706917724109701
8,cbow,7,200,7,models/cbow_win-7_vsize-200_ep-7.model,0.3638841631666208,4.090235246961949e-12,0.3625878457603518,4.932830007525115e-12,0.9660056657223796,0.1414900460137968,7.5417292501217205e-06,0.13653588176192544,1.5638441913264254e-05,0.994994994994995,0.0806253832004905,0.36779794790844517,0.13975218362786918,0.9223419203747073,0.12503814464449192,0.6706917724109701
9,cbow,7,300,10,models/cbow_win-7_vsize-300_ep-10.model,0.39900833244602346,1.8356776012883986e-14,0.4007586031981431,1.378169011618512e-14,0.9660056657223796,0.14168533377654546,7.324281052358775e-06,0.14358059290585481,5.502761651376991e-06,0.994994994994995,0.07234825260576333,0.36779794790844517,0.1465569774527727,0.9223419203747073,0.128089716203845,0.6706917724109701
10,cbow,7,300,5,models/cbow_win-7_vsize-300_ep-5.model,0.35928511545910174,7.919545326442014e-12,0.3647425074656312,3.6114574967336914e-12,0.9660056657223796,0.16189447719395678,2.872329479690575e-07,0.15669415142268878,6.880781138670845e-07,0.994994994994995,0.08338442673206621,0.36779794790844517,0.13487710745480397,0.9223419203747073,0.12206286237412267,0.6706917724109701
